nodeA,nodeB,Type
1500,OS X,containPlat
1502,Mac,containPlat
4720097,Android,containPlat
4720097,android,containPlat
1511,Android,containPlat
525801,CE,containPlat
3671537,Android,containPlat
3671542,win,containPlat
18875897,iOS,containPlat
18875897,Win,containPlat
18875897,Window,containPlat
18875897,ios,containPlat
1535,win,containPlat
28050943,iOS,containPlat
28050943,Win,containPlat
28050943,win,containPlat
28050943,Window,containPlat
1537,CE,containPlat
13633026,CE,containPlat
1540,win,containPlat
31458821,iOS,containPlat
31458821,CE,containPlat
31458821,win,containPlat
31458821,ios,containPlat
22283785,Android,containPlat
22283785,CE,containPlat
31458825,Android,containPlat
31458825,CE,containPlat
31458825,win,containPlat
31458825,android,containPlat
1552,mac,containPlat
1552,win,containPlat
4458000,win,containPlat
25953817,OS-X,containPlat
25953817,Win,containPlat
25953817,OSX,containPlat
25953817,Mac,containPlat
25953817,Windows,containPlat
25953817,Window,containPlat
1566,CE,containPlat
1566,win,containPlat
14681629,CE,containPlat
14681629,win,containPlat
7079461,iOS,containPlat
7079461,macOS,containPlat
7079461,mac,containPlat
7079461,win,containPlat
7079461,Mac,containPlat
7079461,MacOS,containPlat
25167397,win,containPlat
1586,windows,containPlat
1586,Win,containPlat
1586,win,containPlat
1586,Windows,containPlat
1586,Window,containPlat
1586,CE,containPlat
12846650,mac,containPlat
20973125,iOS,containPlat
20973125,Linux,containPlat
20973125,ios,containPlat
20973125,android,containPlat
20973125,Mac OS X,containPlat
20973125,mac,containPlat
20973125,windows,containPlat
20973125,Win,containPlat
20973125,Windows,containPlat
20973125,IOS,containPlat
20973125,CE,containPlat
20973125,Mac OS,containPlat
20973125,linux,containPlat
20973125,Android,containPlat
20973125,OSX,containPlat
20973125,Mac,containPlat
20973125,OS X,containPlat
20973125,win,containPlat
20973125,Window,containPlat
15992392,Android,containPlat
4195926,Android,containPlat
9963106,Android,containPlat
9963106,CE,containPlat
9963106,win,containPlat
9963106,android,containPlat
3671660,CE,containPlat
3671660,win,containPlat
1646,win,containPlat
1648,win,containPlat
1650,Linux,containPlat
1650,mac,containPlat
1650,Win,containPlat
1650,win,containPlat
1650,Windows,containPlat
1650,Window,containPlat
1650,OS X,containPlat
10225273,ios,containPlat
1674,win,containPlat
28837517,Android,containPlat
28313232,iOS,containPlat
525974,win,containPlat
1687,CE,containPlat
16778911,Win,containPlat
16778911,CentOS,containPlat
16778911,OSX,containPlat
16778911,MAC,containPlat
16778911,Windows,containPlat
16778911,Window,containPlat
6817440,Linux,containPlat
6817440,win32,containPlat
6817440,linux,containPlat
6817440,osx,containPlat
6817440,Mac OSX,containPlat
6817440,win,containPlat
6817440,Win,containPlat
6817440,OSX,containPlat
6817440,Mac,containPlat
6817440,Windows,containPlat
6817440,Window,containPlat
6817440,CE,containPlat
6817440,Mac OS,containPlat
24905377,iOS,containPlat
24905377,ios,containPlat
24905377,Android,containPlat
24905377,win,containPlat
24905377,android,containPlat
27526818,Android,containPlat
27526818,CE,containPlat
27526818,android,containPlat
5506724,iOS,containPlat
5506724,mac,containPlat
33556139,mac,containPlat
16778926,Linux,containPlat
16778926,macOS,containPlat
16778926,mac,containPlat
16778926,Win,containPlat
16778926,win,containPlat
16778926,Windows,containPlat
16778926,Window,containPlat
16778926,CE,containPlat
1713,Linux,containPlat
1713,win32,containPlat
1713,linux,containPlat
1713,Debian,containPlat
1713,Win,containPlat
1713,win,containPlat
1713,CentOS,containPlat
1713,ubuntu,containPlat
1713,Ubuntu,containPlat
1713,Windows,containPlat
1713,Window,containPlat
1713,OS X,containPlat
1713,Fedora,containPlat
1714,Windows Phone,containPlat
1714,iOS,containPlat
1714,Android,containPlat
1714,windows,containPlat
1714,Win,containPlat
1714,win,containPlat
1714,Mac,containPlat
1714,Windows,containPlat
1714,Window,containPlat
1714,MacOS,containPlat
1714,CE,containPlat
18089655,Android,containPlat
18089655,iOS,containPlat
18089655,win,containPlat
13108920,CE,containPlat
13108920,android,containPlat
27526844,iOS,containPlat
27526844,Win,containPlat
27526844,win,containPlat
27526844,Window,containPlat
1725,iOS,containPlat
1725,ios,containPlat
1725,macOS,containPlat
1725,mac,containPlat
1725,win,containPlat
1725,CE,containPlat
3671743,macOS,containPlat
3671743,mac,containPlat
3671743,OS X,containPlat
22283975,Android,containPlat
1740,Android,containPlat
1740,iOS,containPlat
1740,win,containPlat
1740,AppEngine,containPlat
1742,Win,containPlat
1742,win,containPlat
1742,Windows 7,containPlat
1742,Window,containPlat
1742,Windows,containPlat
1745,Mac,containPlat
263897,Android,containPlat
263897,CE,containPlat
27002587,windows,containPlat
27002587,win,containPlat
27002587,linux,containPlat
32507614,win,containPlat
33818339,CE,containPlat
6555363,Android,containPlat
6555363,win,containPlat
6555363,android,containPlat
13633264,CE,containPlat
1779,CE,containPlat
1779,win,containPlat
18089725,iOS,containPlat
18089725,ios,containPlat
18089725,mac,containPlat
18089725,OS X,containPlat
18089725,CE,containPlat
16254726,iOS,containPlat
16254726,CE,containPlat
16254726,win,containPlat
16254726,ios,containPlat
11536135,win,containPlat
4720390,Linux,containPlat
4720390,mac,containPlat
4720390,Win,containPlat
4720390,win,containPlat
4720390,OSX,containPlat
4720390,Mac,containPlat
4720390,Windows,containPlat
4720390,Window,containPlat
4720390,CE,containPlat
4720390,OS X,containPlat
1836811,linux,containPlat
1836811,mac,containPlat
1836811,osx,containPlat
1836811,win,containPlat
1836811,windows,containPlat
1809,Linux,containPlat
1809,Mac OS X,containPlat
1809,linux,containPlat
1809,mac,containPlat
1809,osx,containPlat
